"filename", "language", "Python", "JSON", "HTML", "XML", "JavaScript", "Markdown", "Excel", "SQL", "comment", "blank", "total"
"g:\python\SCSystem\static\jquery\src\event\support.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"g:\python\SCSystem\static\jquery\src\event\trigger.js", "JavaScript", 0, 0, 0, 0, 139, 0, 0, 0, 21, 40, 200
"g:\python\SCSystem\static\jquery\src\exports\amd.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 11, 6, 27
"g:\python\SCSystem\static\jquery\src\exports\global.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 5, 10, 35
"g:\python\SCSystem\static\jquery\src\jquery.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"g:\python\SCSystem\static\jquery\src\manipulation.js", "JavaScript", 0, 0, 0, 0, 349, 0, 0, 0, 47, 92, 488
"g:\python\SCSystem\static\jquery\src\manipulation\_evalUrl.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 4, 7, 33
"g:\python\SCSystem\static\jquery\src\manipulation\buildFragment.js", "JavaScript", 0, 0, 0, 0, 67, 0, 0, 0, 16, 24, 107
"g:\python\SCSystem\static\jquery\src\manipulation\getAll.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 2, 10, 33
"g:\python\SCSystem\static\jquery\src\manipulation\setGlobalEval.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 1, 5, 23
"g:\python\SCSystem\static\jquery\src\manipulation\support.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 11, 10, 42
"g:\python\SCSystem\static\jquery\src\manipulation\var\rscriptType.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\manipulation\var\rtagName.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 3, 2, 9
"g:\python\SCSystem\static\jquery\src\manipulation\wrapMap.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 5, 8, 31
"g:\python\SCSystem\static\jquery\src\offset.js", "JavaScript", 0, 0, 0, 0, 155, 0, 0, 0, 38, 40, 233
"g:\python\SCSystem\static\jquery\src\queue.js", "JavaScript", 0, 0, 0, 0, 114, 0, 0, 0, 9, 23, 146
"g:\python\SCSystem\static\jquery\src\queue\delay.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"g:\python\SCSystem\static\jquery\src\selector-native.js", "JavaScript", 0, 0, 0, 0, 156, 0, 0, 0, 47, 39, 242
"g:\python\SCSystem\static\jquery\src\selector-sizzle.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 1, 5, 20
"g:\python\SCSystem\static\jquery\src\selector.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"g:\python\SCSystem\static\jquery\src\serialize.js", "JavaScript", 0, 0, 0, 0, 91, 0, 0, 0, 15, 29, 135
"g:\python\SCSystem\static\jquery\src\traversing.js", "JavaScript", 0, 0, 0, 0, 149, 0, 0, 0, 17, 33, 199
"g:\python\SCSystem\static\jquery\src\traversing\findFilter.js", "JavaScript", 0, 0, 0, 0, 75, 0, 0, 0, 6, 17, 98
"g:\python\SCSystem\static\jquery\src\traversing\var\dir.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"g:\python\SCSystem\static\jquery\src\traversing\var\rneedsContext.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"g:\python\SCSystem\static\jquery\src\traversing\var\siblings.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 18
"g:\python\SCSystem\static\jquery\src\var\ObjectFunctionString.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\var\arr.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\var\class2type.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 2, 7
"g:\python\SCSystem\static\jquery\src\var\document.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\var\documentElement.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\var\flat.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 3, 4, 17
"g:\python\SCSystem\static\jquery\src\var\fnToString.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\var\getProto.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\var\hasOwn.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\var\indexOf.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\var\isFunction.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 7, 4, 18
"g:\python\SCSystem\static\jquery\src\var\isWindow.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"g:\python\SCSystem\static\jquery\src\var\pnum.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\var\push.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\var\rcheckableType.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\var\rcssNum.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"g:\python\SCSystem\static\jquery\src\var\rnothtmlwhite.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 3, 2, 9
"g:\python\SCSystem\static\jquery\src\var\rtrimCSS.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"g:\python\SCSystem\static\jquery\src\var\slice.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\var\support.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 2, 7
"g:\python\SCSystem\static\jquery\src\var\toString.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\var\whitespace.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 4, 9
"g:\python\SCSystem\static\jquery\src\wrap.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 1, 18, 79
"g:\python\SCSystem\static\package-lock.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"g:\python\SCSystem\static\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"g:\python\SCSystem\test\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 7
"g:\python\SCSystem\test\jsontest.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 6, 4, 14
"g:\python\SCSystem\test\sign_up.html", "HTML", 0, 0, 84, 0, 0, 0, 0, 0, 1, 7, 92
"Total", "-", 504, 299, 610, 79, 27271, 39, 75, 90, 7766, 8462, 45195
